size,seed,role,algo,repeat,ok,error,time_ns,tracemalloc_peak_bytes,rss_delta_bytes,ascii_h,ascii_w,wall_count,corridor_count,path_length,explored_count,visited_count,other_count
4,1,generator,Kruskal,1,1,,164400,8783,0,9,9,48,33,0,0,0,0
4,2,generator,Kruskal,2,1,,155300,8783,0,9,9,48,33,0,0,0,0
4,3,generator,Kruskal,3,1,,160300,8783,0,9,9,48,33,0,0,0,0
4,4,generator,Kruskal,4,1,,167100,8783,0,9,9,48,33,0,0,0,0
4,5,generator,Kruskal,5,1,,259600,8783,0,9,9,48,33,0,0,0,0
4,1,solver,Backtracking,1,1,,247800,11308,0,9,9,48,33,15,18,33,0
4,2,solver,Backtracking,2,1,,292000,11300,0,9,9,48,33,15,18,33,0
4,3,solver,Backtracking,3,1,,268400,11292,0,9,9,48,33,15,18,33,0
4,4,solver,Backtracking,4,1,,254600,11284,0,9,9,48,33,15,18,33,0
4,5,solver,Backtracking,5,1,,284400,11276,0,9,9,48,33,15,18,33,0
4,1,solver,AStar,1,1,,140300,7988,0,9,9,48,33,15,0,15,0
4,2,solver,AStar,2,1,,138000,7980,0,9,9,48,33,15,0,15,0
4,3,solver,AStar,3,1,,141800,7972,0,9,9,48,33,15,0,15,0
4,4,solver,AStar,4,1,,133200,7964,0,9,9,48,33,15,0,15,0
4,5,solver,AStar,5,1,,145800,7956,0,9,9,48,33,15,0,15,0
5,1,generator,Backtracking,1,1,,407800,6687,0,11,11,70,51,0,0,0,0
5,2,generator,Backtracking,2,1,,396600,6687,0,11,11,70,51,0,0,0,0
5,3,generator,Backtracking,3,1,,414900,6799,0,11,11,70,51,0,0,0,0
5,4,generator,Backtracking,4,1,,397300,6687,0,11,11,70,51,0,0,0,0
5,5,generator,Backtracking,5,1,,388800,6799,0,11,11,70,51,0,0,0,0
5,1,generator,Kruskal,1,1,,210900,11876,0,11,11,70,51,0,0,0,0
5,2,generator,Kruskal,2,1,,223100,11860,4096,11,11,70,51,0,0,0,0
5,3,generator,Kruskal,3,1,,229500,11844,0,11,11,70,51,0,0,0,0
5,4,generator,Kruskal,4,1,,207500,11839,0,11,11,70,51,0,0,0,0
5,5,generator,Kruskal,5,1,,211300,11839,0,11,11,70,51,0,0,0,0
5,1,solver,Backtracking,1,1,,380600,15884,4096,11,11,70,51,23,28,51,0
